,title,score,img_url,year,nation,category
103,第六感,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.webp,1999,美国,剧情 悬疑 惊悚
104,阳光灿烂的日子,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.webp,1994,中国大陆 中国香港,剧情 爱情
105,超脱,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.webp,2011,美国,剧情
106,功夫,8.7,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.webp,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻
107,重庆森林,8.8,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792381411.webp,1994,中国香港,剧情 爱情
108,唐伯虎点秋香,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.webp,1993,中国香港,喜剧 爱情 古装
109,爱在黎明破晓前,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.webp,1995,美国 奥地利 瑞士,剧情 爱情
110,人生果实,9.5,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.webp,2017,日本,纪录片
111,一一,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.webp,2000,中国台湾 日本,剧情 爱情 家庭
112,小森林 冬春篇,9.0,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.webp,2015,日本,剧情
113,蝙蝠侠：黑暗骑士崛起,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.webp,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
114,菊次郎的夏天,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.webp,1999,日本,剧情 喜剧
115,入殓师,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.webp,2008,日本,剧情
116,消失的爱人,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.webp,2014,美国,剧情 犯罪 悬疑 惊悚
117,无人知晓,9.1,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.webp,2004,日本,剧情
118,哈利·波特与阿兹卡班的囚徒,8.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.webp,2004,英国 美国,奇幻 冒险
119,倩女幽魂,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.webp,1987,中国香港,爱情 奇幻 武侠 古装
120,超能陆战队,8.7,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.webp,2014,美国,喜剧 动作 科幻 动画 冒险
121,侧耳倾听,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456692072.webp,1995,日本,剧情 爱情 动画
122,完美的世界,9.1,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.webp,1993,美国,剧情 犯罪
123,借东西的小人阿莉埃蒂,8.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.webp,2010,日本,动画 奇幻 冒险
124,甜蜜蜜,8.9,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.webp,1996,中国香港,剧情 爱情
125,爱在日落黄昏时,8.9,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.webp,2004,美国 法国,剧情 爱情
126,萤火之森,8.9,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.webp,2011,日本,剧情 爱情 动画 奇幻
127,驯龙高手,8.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.webp,2010,美国,动画 奇幻 冒险
